reviewer,description,rating,review_date
Shane O'Laughlin,,5.0,3 years ago
Jayleine Laco,,5.0,3 years ago
Junell Ancheta,Great experience.,5.0,3 years ago
Mandar Patil,,4.0,3 years ago
paul okunewitch,I didn't get a call when the car was ready and the car was dirty when I got it back.  The service advisor emailed me after the service asking for feedback and I responded.  No reply other than an automated email a few weeks later asking me to review them on Google.   Other visits have generally been positive.,3.0,3 years ago
sonny manuel,,5.0,3 years ago
J.T. Marley,"Thanks Concord Honda, Jonas at the front & service crew! 2014 car, i hope to have this car 18-20years from now! & prices so far have not been over the vaule of work garuentee and customer service. (They even offer shuttle service to a local spot while your is being serviced if wanted)",5.0,3 years ago
Dennis Sun,,5.0,3 years ago
Mirian Molina,,5.0,3 years ago
Jim Brennan,,5.0,3 years ago
Meghan Gallagher,,4.0,3 years ago
Minh Le,Excellent sales & services!,5.0,3 years ago
Andrew Kulinich,,3.0,3 years ago
Carolyn Green,"Our family has purchased two Honda Fits from Concord Honda sales and their service department makes servicing both cars as pleasant as possible.  Prompt, courteous greeting upon arrival, fair upfront pricing and accurate length of service …",5.0,3 years ago
Taren Petros,"The reason for the two stars is because 1) the gentleman who helped me in the service department was condescending to me and the other employees when I picked up my car, 2) during the inspection they checked off that my wiper fluid was in …",2.0,3 years ago
Casper Wang,,5.0,3 years ago
Patrice Perlin,"Professional, courteous, and efficient!",5.0,3 years ago
Pooja Mandaliya,,4.0,3 years ago
Lawrence Kong,The service was performed professional and on time. Thanks.,5.0,3 years ago
Mary M. Jordan,As always excellent service. Our service agent Ricky  goes beyond with his customer service for my husband and I.,5.0,3 years ago
Tanwir Syed,,5.0,3 years ago
Lisa Denton,Concord Honda was knowledgeable and  made the car buying experience quick and painless.,5.0,3 years ago
Julio Iglesias,"One of the best experience i ever had taking my vehicle to any. Very helpful employees, specially Jonas, who made my first first time there very pleasant. I woukd definitely go back. Thank you Honda Concord and thank you Jonas!.",5.0,3 years ago
Saif Q,"Excellent experience, thankyou Mr. Maloky",5.0,3 years ago
sushma mantri,Best Honda service centre simply!,5.0,3 years ago
Jae Shin,Very helpful in many different unknown experience buying a new car.,5.0,3 years ago
joy luck,,1.0,3 years ago
Catherine Sobral,"I have never had a bad experience at this dealership.  Once I purchased my car, a friend of mine gave me the name of his car guy in the service department, Wasif Khan.  I know we've all heard the, ""don't take your car to the dealership, …",5.0,3 years ago
Carla Roque,David at Concord Honda is super helpful. Every time I get my oil change he delivers what he says.,5.0,3 years ago
Minder S,"Excellent, pleaseant, friendly, happy",5.0,3 years ago
Angel F,"The staff were very friendly and quick to respond. We purchased a van the following day of first looking online. We were  told that the van hadn't been detailed when we came to pick it up to sign the paperwork. Unfortunately, it was …",3.0,3 years ago
Noah Hausmann,My experience at Concord Honda was Great!! Very helpful staff and exceptional finance personal and sales team.Really good one on one experience with a gentleman by the name of Leo Hawkins as well as the finance director Roy Joshan. I would recommend Concord honda to anyone looking for a good deal and good customer service.,5.0,3 years ago
Julius Timmy James,,5.0,3 years ago
Ken Connelly,,5.0,3 years ago
Peter Sih,,5.0,3 years ago
Sarah Souza,"If you ever need your car taken care of ask for Ricky! He was efficient, very attentive, and thorough with my entire service. All my questions were answered and everything was taken care of as quickly as it could be. I felt like I was being …",5.0,3 years ago
Miguel Valadez,"(Translated by Google) Good service, and very friendly people",5.0,3 years ago
Todd Cook,"Excellent customer service. However, on my last service, I dropped my car off at the dealership at 7am. 45 minutes later, I received a call from the dealership stating that I had a nail in 2 different tires and my front brakes were at 1mm. …",2.0,3 years ago
Diana Willson,Purchased a brand new CR-V from this dealership and my buying experience was awesome! I had been shopping around for about six months and finally new what I wanted and what I wanted to spend. Vincent J. helped me get a great deal and a …,5.0,3 years ago
Malina Galvan,Always a great experience in the service center! The excellent customer service is the reason I keep bringing my car back here for service.,5.0,3 years ago
Katie Connors,,5.0,3 years ago
Jun C,The service is ok.,3.0,3 years ago
USFFL GT,Fast and reasonable priced service,4.0,3 years ago
Chau Lau,,5.0,3 years ago
Albert Manlangit,,5.0,3 years ago
Sergio Maciel,Knowledgeable staff and great service.,5.0,3 years ago
Alex Gouhary,Very  helpful.,5.0,3 years ago
Cecilia Lopez,Work was done well and while I waited.,5.0,3 years ago
Pete Keenan,,5.0,3 years ago
Fernando Tizon,,4.0,3 years ago
Yoshimi Ikeda,,4.0,3 years ago
W Goh,Have always had great helpful service here!,5.0,3 years ago
Alan Jian,"My Pilot's battery died when I tried to start the car for a long road trip to Canada. Jump-started it, drove to Concord Honda and described the situation to my regular service advisor, Wasif Khan, and asked for a quick battery replacement. …",5.0,3 years ago
David Jaroch,Took a long time.  Prices high compared to other locations.  Left without selecting services.,3.0,3 years ago
Peggy Solis,,5.0,3 years ago
Fany Hernandez,,4.0,3 years ago
Anthony Cheung,,5.0,3 years ago
G L,Emily Vanden was very professional and helpful .,5.0,3 years ago
Damoni Mcbride,My experience with Honda concord is that they truly live up to the. Word professional and does great work and they do it in a timely manner,5.0,3 years ago
Zac Case,I'm really loving them in their new location. Friendly and helpful staff all around good dealership,5.0,3 years ago
Ron Tsoi,Great sale people,5.0,3 years ago
Pilar Morales,,2.0,3 years ago
Deidra Calhoun,"I bought my New car from here and I will travel to concord Honda for service , parts anything dealing with car just because the entire staff is great !!!",5.0,3 years ago
Wasif K,,5.0,3 years ago
Shiv Parsram,"I wish the person we had showed some sort of value. I walked in and walked around and no one helped. One guy said, go look over there. I left and went to Lehmer's Concord.",1.0,3 years ago
mectels C.,Satisfactory experience,5.0,3 years ago
Sharon Minch,Love my Honda - no pressure sales,5.0,3 years ago
Alan Cookson,"I booked my car in for a 1pm appointment to remove cross bars & 2x bike rails. After sitting in the waiting area for 2 hours, I approached the Service Desk to get a status, and was told that the car had not even been looked at. An …",1.0,3 years ago
Jim S,I always have a good experience at Concord Honda. I have purchased 2 cars from them over the years and it is always like buying from family. Ask for Mario I'm sure he will take good care of you.,5.0,3 years ago
Vanessa Pewitt,,1.0,3 years ago
Somashish Roy,I bought my new Honda CRV at Concord Honda in 2015. Since then I have received excellent service and customer care at Concord Honda. They are very professional and courteous. I would definitely recommend Concord Honda to all.,5.0,3 years ago
Venkatesan Sankara Narayanan,The service was excellent and extremely satisfied. Thanks.,5.0,3 years ago
Salvador Navarro,,5.0,3 years ago
Dan Prather,,5.0,3 years ago
Matt Mercer,"unfortunately attention to details and customer service went out the window once they had my large down payment. In this situation I had cosigner, which involves paperwork which needed to be sent across states. The paper work sat there a …",1.0,3 years ago
Puneet Punjabi,Great service. They were pretty quick and efficient. My car loves this place.,5.0,3 years ago
M Lawrence,,5.0,3 years ago
R Mapaye,,5.0,3 years ago
Bill Hudlow,,5.0,3 years ago
Samuel Verbis,"Waisf, as usual, is the man! always takes me late in the day and my car is ready early the next! If you are looking for care for your Honda, go to Concord Honda, and ask for WASIF!",5.0,3 years ago
Raymond Green,,5.0,3 years ago
Leo L SF,Salesmen are not pushy. Abundant car inventories. Price is very competitive.,5.0,3 years ago
Barbara Porter,,5.0,3 years ago
Christian Santos,,5.0,3 years ago
Vivek Nadagouda,Good inventory of cars. Good sales & service. Smart sales team & their tactics.,5.0,3 years ago
Gurman Playz,,5.0,3 years ago
Mario Almanza,,5.0,3 years ago
Anh Nguyen,,5.0,3 years ago
Jake Welsh,"they had everything i needed in stock for my recall, the work performed was completed in half the time i was quoted. i could not be any happier with my service rep and the department overall. My service rep also found a discount that …",5.0,3 years ago
Katherine Bradshaw,"Issac was great. Finance department, not so great, as they ran a credit report on me even though I paid cash. Running my credit seems to have lowered it. Then I was sent to a finance guy who was there to pressure me into buying other options even though I had told Issac I did not want them.",3.0,3 years ago
Esther Whiteman,I took my car in because it wouldn't start. They told me they couldn't hear it or find it. I could barely start my car to drive it out of the parking lot after they wasted my time. I assume they didn't want to take the time to investigate …,1.0,3 years ago
Roger Chang,Reliable service and competitive prices.,5.0,3 years ago
Steve Schadendorf,,5.0,3 years ago
diana Grados,Good service,4.0,3 years ago
abayomi ikutiminu,,4.0,3 years ago
Brian Jones,The guys at the parts department are the best. They will give you tips and even print version of how to repair some things. Love it.,5.0,3 years ago
PhantomGhost 11278,"Ali was a wonderful help in getting me the Honda CRV, 2017.  Looking forward to working with Honda for many, many years.  Thanks!",5.0,3 years ago
Rick Rodriguez,Honda of Concord was so amazing to buy a car they were great! Friendly and fast with a great price I will absolutely buy my next one here! Thanks Rick,5.0,3 years ago
Linda Smith,,5.0,3 years ago
ross5928,,5.0,3 years ago
Ed O'Toole,Great service and prices,5.0,3 years ago
Dmitry Logutenkov,,4.0,3 years ago
Dee Ann Rivas,,5.0,3 years ago
Rob Borja,I always go to Concord Honda for service. I trust the service personnel of Concord Honda with the work that they do. They are polite and accommodating.,5.0,3 years ago
Tech T Tran,I went to Concord Honda and they were great!,5.0,3 years ago
Maggie R,"not all advisor are good, most of them are not nice with women questions. they expect you should know about cars.",2.0,3 years ago
Nick Armstrong,"The customer service was terrible. The pricing is what got me into the door and I know Honda's are great cars. This dealership in particular, they smile and do what they need to and get you to sign.. then there customer service falls off …",1.0,3 years ago
Nonette Bermudez,,5.0,3 years ago
Sierra Sleight,,5.0,3 years ago
Matthew Lo,,2.0,3 years ago
Christina Viray,"Everyone was really friendly, my car was serviced beautifully and well within the time frame promised.",5.0,3 years ago
Nebojsa Milosavljevic,,5.0,3 years ago
Amechi Omokaro,"Terrible service 😑 went to see them 5 times for the same issue (the lights on my console wouldn't light up), each time they scratched up some part of my car, whether it be the hand break or the knob to switch gears (can't remember the …",1.0,3 years ago
Ghislaine Gery,,5.0,3 years ago
Michael Ali,,2.0,3 years ago
shaukat pir,,5.0,3 years ago
Susan LaPat,,5.0,3 years ago
benjo sevilla,Very friendly and helpful staff.  Price is on the high side compared to other dealers and they don't match prices unless it is from another local dealer within 20 miles.  I found items cheaper from out of state Honda dealers even with shipping added.,4.0,3 years ago
Armando TORRES,Great,5.0,3 years ago
Melissa Suiste Collins,Always a friendly and knowledgeable company. They have always helped me out to the best of their ability. The always help with alternative solutions.,5.0,3 years ago
Rey Buendia,,1.0,3 years ago
Roberto Bracamontes,,4.0,3 years ago
Varun Katta,Got a great price on 2018 Honday Odyssey.,5.0,3 years ago
daneil macdonagh,,5.0,3 years ago
Jayvie M.,,4.0,3 years ago
Scott Getty,,1.0,3 years ago
Bismarck Vasquez,Friendly staff. Timely service,4.0,3 years ago
Erika Diaz,,5.0,3 years ago
Michael Cordoba,,5.0,3 years ago
Barbara Green,,5.0,3 years ago
Michael Eramian,Most hopeless phone system on the planet!!! Trying to speak with someone is a MAJOR task!,1.0,3 years ago
Jojo de Guzman,I have little confidence in this place when my car breaks down and I get stuck in middle of nowhere less than a week after getting maintenance from Concord of Honda.,1.0,3 years ago
thezerandomaslan ooG,"I was helped by very nice and knowledgeable gentleman name Mo Aslai,   He was really welcoming and friendly . I was well taken care of through the all process, I am very happy from Mo and his finance team at Concord Honda.",5.0,3 years ago
Juju Uy,honda service here is like dmv jesus christ. 3hr fir a changeoil.. used to live in socal hondas there take 15-30min with appointment.,1.0,3 years ago
Chuy Eufracio,Awesome people great coustumer service,5.0,3 years ago
Oforiwa Haikins,"The process was very, very, very, long! Got there a few minutes before 5pm, left after 10pm. Not good. …",2.0,3 years ago
Jim Jorgensen,If it wasn't for the recall on the airbags.  I would never trust Concord Honda dealership with the service and maintenance on my car.  Don't get me wrong Honda products are excellent.,1.0,3 years ago
Serye Glat,,1.0,3 years ago
SELCUK BARAN,Greatest service,5.0,3 years ago
M4y3r G,Nice service.,4.0,3 years ago
Laura Richardson,Great customer service,5.0,3 years ago
Shuyi Zhao,,5.0,3 years ago
Farah Rodrigues,great,5.0,3 years ago
Andy Liu,Good ser,5.0,3 years ago
arturo barreto,,5.0,3 years ago
Chyan Chang,,5.0,3 years ago
Pavlo Kurochka,,4.0,3 years ago
Scott Etkin,Best price for my trade in,5.0,3 years ago
Stephanie P,"Great service, in and out in a decent time for an express oil change.  They have donuts, coffee,  and tea.  Wish they had more variety when it comes to tea but they do offer gourmet coffee blends via a machine.   Also there are work stations if you need em.  Great facility and friendly staff.",5.0,3 years ago
Grace Ann Dehn,"Service has been good. But this time they couldn't  find our oil service paper. Finally found them but had to wait for over 2 hours. When we were signing out,",5.0,3 years ago
Sands Branch,"Service by Danielle was great with test drive and cordiality. Low balled us on our trade-in, and weren't willing to seriously negotiate at all. We had no choice but to move on. Definitely a business looking to make a profit.",3.0,3 years ago
musicalheartstrings bayarea,I went to Concord Honda to replace a front left axle. The dealer recommended an after-market part since it was $800 cheaper. That part failed in 3 months. A different service advisor (Chris Garcia) essentially blamed me for going with a …,1.0,3 years ago
Gayl Westendorf,"Very prompt, professional  and efficient service for my CRV.  The service rep also finds discounts that I'm eligible for on services.",5.0,3 years ago
Marsha Barnett,I can only give an average review because when my car was returned to me the 2 panels that were removed inside the driver's area were not replaced. I had to bring it to service processor's attention. Not right when I had just paid $150+ to change a turn signal fuse.,3.0,3 years ago
John Cardenas,Very good experience with my service very professional and personal will be back.,5.0,3 years ago
NAEEM KHAN,,5.0,3 years ago
Matthew,,2.0,3 years ago
Jimmy Thompson,excellent service on my car. i was in and out of there. will keep taking my car for service at Honda of Concord,5.0,3 years ago
Scott Hatanaka,,5.0,3 years ago
Adan Martinez,Good place,5.0,3 years ago
cfrank925,Concord Honda gave me exceptional service and price on my new Honda Accord. They were professional and paired me up with a vehicle that catered to my needs.,5.0,3 years ago
Luis Alkon,"Allways I used Concord Honda for Services, they are the best! My first Honda CR-V 2002 running very good with 280,000 miles no problem. Also I have CR-V 2008 and CR-V 2015. …",5.0,3 years ago
Alex Gz,Im not going to take my car anywhere else. Been going to Concord Honda for quite a few years. Very nice employees. Waiting room is clean and comfortable. And service is good. Only reason for the missing 5th star is because I had an older …,4.0,3 years ago
John Welch,,3.0,3 years ago
Deborah Linnekin,I had problems with my headlight and they helped me when others couldn't. Great people here!,5.0,3 years ago
Mike Leary,,5.0,3 years ago
Billie Hopper,"Timely service, polite employees, good attention to detail.",5.0,3 years ago
Sunil Kumar,,5.0,3 years ago
MARIANO DIAZ ALTAMIRANO,,3.0,3 years ago
Kyle Menze,,5.0,3 years ago
Janice Sabo,Concord Honda is the best!  My recent service was handled by David Rodrigues.  He was so knowledgeable and helpful!! I trust Concord Honda.,5.0,3 years ago
Ali St. James,Excellent service without trying to oversell. They solved a weird problem I was having as well as provided great service at my regularly scheduled maintenance. Thank you!,5.0,3 years ago
Shawn Burns,Crazy good! Been a Toyota guy for last 35 years and never new how good car service could be!  Been going to these guys for last 3 years with new Accord and would never go anywhere else!,5.0,3 years ago
Melinda Pinlac,"Michelle helped both my sister and I buy our new cars. She was very professional, friendly and accommodating.",5.0,3 years ago
Sidariss Wallace,PICK UP HANG UP SALES MAN SAYS HE CANT SELL ME A CAR BECAUSE THE MANAGER WASNT IN BUT KEEPS CALLING ME WHEN I LEAVE TO TRANSFER ME TO SOMEONE WHO ISNT IN,1.0,3 years ago
Gary Diltz,My experience at concord Honda was terrible my girlfriend has a Honda oddesy we took it in for engine light oil change and brake job ended up leaving with 5000 dollar bill because they said the engine mounts were bad  not true I would have …,1.0,3 years ago
Shi Wang,,5.0,3 years ago
Michael A,,3.0,3 years ago
Frances Chin,"My wife Frances and I both love our new 2018 HR-V from Honda Concord.  Leo was the most gentleman-like sales person.  We also have a 2007 Honda Fit, which my wife loves driving around town.  We recently transported my 2012 CR-V 4 WD to my …",5.0,3 years ago
Gerrell Cunningham,,4.0,3 years ago
Bill Eberly,Great sales person easy painless buying,5.0,3 years ago
hlove07,"Had a wonderful experience at Concord Honda. Christina Sanchez, the Internet Sales Manager was amazing to work with and made the process go quickly and smooth. I would definitely recommend this dealership to others.",5.0,3 years ago
Reza Ghadiri,,4.0,3 years ago
Brendan Wood,"Fast service, wasn't charged to upgrade my software.",5.0,3 years ago
Tomas Navarro,,5.0,3 years ago
Perry Adriano,Quality service,5.0,3 years ago
Chun Chin,,5.0,3 years ago
Aletha Biedermann-Wiens,"Same day service, no waiting!",5.0,3 years ago
Shiva S,"My mom and I both go here to have our Hondas serviced. Emily V. takes really good care of us and makes sure things are done on time. She is polite, helpful and honest. We Really appreciate her help and hard work and happy we trust her.",5.0,3 years ago
Risha R,,5.0,3 years ago
Luis A Perea,"Throughout the last four years, I have been able to observe good service to my car, such as customer service at Concord Honda dealership.",5.0,3 years ago
Cherubini Coffee House,,5.0,3 years ago
Bobby Singh,,1.0,3 years ago
John Welch,,3.0,3 years ago
Andrea Enos,The service there has always been great and they are always very professional. The service advisor Wasif is always very nice and helpful. He goes out of his way to help!,5.0,3 years ago
Alex Efros,,5.0,3 years ago
fred martinez,2017 and the car buying experience and the accuracy of the vehicle information has not improved.  I am a believer in the quality and reliability of Honda vehicles.  I do not know who or how estimated gas mileage is determined but they are …,3.0,3 years ago
JRome Orante,,3.0,3 years ago
Thelma Carpio,,5.0,3 years ago
Elaine With,,5.0,3 years ago
Rickisha Herron,"I have been taking my car here since I move from D.C. in 2015.  All the services people are great. Though I have moved to Oakland, I still travel for all my device to Concord Honda. Thank you for provide GOOD customer service. These days it hard to find.",5.0,3 years ago
Claude Bardin,,5.0,3 years ago
El sushi bandit,So I needed a ride asap and Eddie helped me out so much it's still not set in I'm recommending everyone to go to him,5.0,3 years ago
George Quitugua,"Nice, large dealership.   Big inventory.",4.0,3 years ago
Luvella Stevens,I went into Concord Honda without an appointment and they helped me out the same day.,5.0,3 years ago
Alexander Rudnitsky,,5.0,3 years ago
Mark G.,,5.0,3 years ago
Oleksii Lukianenko,Service is poor,2.0,3 years ago
drewilson88,,5.0,3 years ago
Judy C,Love it,5.0,3 years ago
Grant Heinitz,Always a great experience here.  Never worry when dropping off my Pilot for service.  Donuts and awesome coffee machine is a bonus as well.,5.0,3 years ago
ziah thea,,5.0,3 years ago
Robert Iakovlev,"I have recently bought Toyota Camry 2016 from Concord Honda (beginning of November). After driving one day I noticed ""check charging system"" warning on display when key are in ignition but motor is off. I brought car to them and ask what's …",1.0,3 years ago
MADHAVAN MENON,,5.0,3 years ago
Devin Rasmussen,Service center tends to be slow and not that friendly. Had to remind staff we were waiting for my wife's car several times. No one wanted to help as the service customer who initially helped my wife was on lunch.,3.0,3 years ago
Eric Tam,Very busy place.. there were lot of people in the waiting room. I came here with a friend with a Costco number and had a preset pricing so no haggling necessary. The deal was negotiated and done within five minutes but it took us another …,4.0,3 years ago
Rob Reeves,"Everytime I go they are prompt and very friendly for service, just try to get there early because they stay busy... Great accommodations while you wait. Might be where I buy my next car...",5.0,3 years ago
Preet Kaur,,5.0,3 years ago
Anny Chen,"(Translated by Google) He has a lounge for customers, coffee and tea are available, it is really good! ⋯⋯",4.0,3 years ago
Paul Cutteridge,Honda dealer,5.0,3 years ago
Alex Tran,,3.0,3 years ago
Amber Gantt,They always take care of me and my car. No one tries to upsell me or act like they can get over on me because Im female. I've seen the alternative so I'm glad I get my car serviced here.,5.0,3 years ago
Markel Isham,Service agents have always been helpful and informative.,5.0,3 years ago
Christian Jay,,5.0,3 years ago
Bill Holly,,5.0,3 years ago
Marylou Epstein,,5.0,3 years ago
Brian Gagarin,,5.0,3 years ago
Nico Yncio,"Terrible service thought the phone, but decent service at the dealership. I went to the dealership to get my brakes check, & suggested to replace everything.  My rotors & brake pads were fine, it was just the brake clips that needed to be …",2.0,3 years ago
K S,,5.0,3 years ago
Barbara Wichlan,Purchased my car here and have it serviced here regularly.  Always excellent service,5.0,3 years ago
Dipesh Gandhi,,5.0,3 years ago
annabelle cadiz,,4.0,2 years ago
Deborah Zwinger,,5.0,2 years ago
Michael MATHEWS,"Christian Garcia was extremely helpful in getting my car serviced for its' 65,000 mile maintenance check and getting the rear driver tail light replaced so I would not be ticketed by police services for an operator violation.  As always I …",5.0,2 years ago
Ryan Guaraldi,,5.0,2 years ago
Evgeniya B,,5.0,2 years ago
Brielle Calicchio,Wait time for car repairs is pretty high due to the volume of people coming in. Other locations might be less busy and faster at turning around vehicles back to their employees. Customer service is 100%.,4.0,2 years ago
Vinay Gusain,,5.0,2 years ago
Alan Wu,Not cheap but you get what you pay for. Very honest and reliable service.,5.0,2 years ago
Houdini,"Great place to get a new Honda at a great price. Ask for Chris Zacharakis, he's the fleet manager and gives the best deals. Bought 5 cars from him in the past ten years, all at or near invoice. A civic, 2 accords and 2 CRVs. Tell him Houdini sent you.",5.0,3 years ago
Terrence Healy,Explained every,5.0,3 years ago
mak nasseh,,5.0,2 years ago
Tiruvur Mohanram,,4.0,2 years ago
NANCY TO,,4.0,2 years ago
Curtis DeArmond,,5.0,2 years ago
William Dela Cruz,,5.0,2 years ago
Robert Hight,,5.0,2 years ago
Randi Hackbarth,,5.0,2 years ago
Shivinder Singh,,2.0,2 years ago
Michael Abraham,"It's awful place to take care for repair. Dishonest  service people. They sale service that is not required. I did purchase my car there, but when took for service they wanted sale me service pre- matured. Stick to manual for services.  We …",1.0,2 years ago
Valerie Gospodarek,"Mike Gallardo was our sales rep and he was extremely patient with us as we test drove 4 vehicles over the course of two days, which we greatly appreciated.  We ultimately did not purchase a car from Honda of Concord because they did not …",3.0,2 years ago
Farough Parvizi,Took forever for a simple oil change :(,1.0,2 years ago
Don Fiddes,,4.0,2 years ago
Kenneth Williamson,,5.0,2 years ago
Thomas Ogu,Concord Honda gave me an outstanding service,5.0,2 years ago
raffa d.,,4.0,2 years ago
Candis White,,5.0,2 years ago
Jim C.,Do not do business with this establishment. Posted one price on a car then attempted to raise it during my visit. I walked out.,1.0,2 years ago
Raynato Castro,One of the best places to buy a vehicle. Just go straight to the boss Roy and he'll hook you up.,4.0,2 years ago
Roman Kiprin,,5.0,2 years ago
John Phillips,"Quick, friendly and convenient, but recommended services that weren't needed.",3.0,2 years ago
Elena P,"I am so grateful for your help yesterday 1/28/2018, guys!",5.0,2 years ago
Marnelli Garcia-Migue,,5.0,2 years ago
Gerardo Padilla,"Thank you so much Jessica Huerta!! Best customer service ever. She really took the time to explain every detail of the car we purchased. Paperwork was a breeze. I would highly recommend if you’re thinking of buying a new Honda, please go …",5.0,2 years ago
Tamela B,"They hustled me good. I was in a rental because my car was totaled and really needed a car. Picking out the car wasn’t the problem but when I sat in front of the “finance guy,” some young guy w. a turbin, that’s when I started wishing I had …",1.0,2 years ago
Letitia Matthews,Its a pleasure bring my car here great service if anything's wrong way like you know,4.0,2 years ago
Wing Zhan,Clean and nice dealership for Honda,5.0,2 years ago
Deena Caldwell,Bought my Civic here and all service done here.  Always excellent service on my almost 18 Year old Civic.,5.0,2 years ago
savage415ify,BIG THANK YOU to Mo. The process was fast & easy he helped me pick the PERFECT car just for me.  This is my first car & it was very exciting to have one that met every standard i had in a car. ill never forget 1/8/18 when i was able to drive my car home. My hard work finally pays off; one less things off my bucket list.,5.0,2 years ago
Phuc Nguyen,,3.0,2 years ago
Stac Lundy,Seemed like slow service,3.0,2 years ago
Monir Aslai,"I had a very pleasant experience with purchasing of my new Honda Civic, I was helped by the salesman name MO, he was helpful, knowledgeable and courteous. I recommend MO at Concord Honda for every one.",5.0,2 years ago
Walter Huancas,I had been searching for an SUV since 2017; I am parent to seven kids. I was referred to Concord Honda by a coworker that purchased a car in September 2017. After much research I found what I needed not wanted. I went to the dealership on a …,1.0,2 years ago
buddhablossoms concord,These guys are always on point.  Customer service is most excellent.,5.0,2 years ago
Ainsley Feraren,,5.0,2 years ago
John Postlethwaite,"Great service by Rick Kreiser, he really took care of me",5.0,2 years ago
Satish Shrestha,"My visit was regarding Honda Fit airbag recall. To my dismay, my car had been compromised by the people ( private) who sold it to me, Ms. Skarland Kamm, one of the rep kindly briefed on my situation and further advice me on my options.  She …",5.0,2 years ago
sainey Bangura,,5.0,2 years ago
Jk Su,,5.0,2 years ago
SHIRLEY SHEAN,,5.0,2 years ago
Leslie Smith,The service department is so slow. The people are friendly but it doesn't make up  for the amount of time you wait for your car.,3.0,2 years ago
mygreeneyes93,I ALWAYS have a good experience with Concord Honda!,5.0,2 years ago
Lacey Stone,,5.0,2 years ago
Jeanie Dacanay,,5.0,2 years ago
Seth B,"Low pressure sales staff, but manager is annoying and unhelpful",3.0,2 years ago
Vitaly Barinov,,5.0,2 years ago
Frank Chen,,3.0,2 years ago
Hannah de Vries,,4.0,2 years ago
Keith Kotchou,,5.0,2 years ago
Maytal Benbenisti,,5.0,2 years ago
Eva Juan,,5.0,2 years ago
Jason Palacios,,2.0,2 years ago
Alex Park,,5.0,2 years ago
brian pearson,"Nothing but positives, fixed car in timely fashion even a car wash.",5.0,2 years ago
Jimmy Ma,,5.0,2 years ago
Jorge Castro,"My service advisor is the best.  We have developed a very professional relationship, and my family and I have come trust him and our service technician with full assurance that we’re being given 100% quality service.  Thank you Wasif and Rigo!!!!!!!!!!",5.0,2 years ago
Mary Beck,Repairs done in a timely manner and the service personnel were courteous and considerate.,5.0,2 years ago
Charles Peck,"Customer service delivery, satifaction, conclusion, and follow up where nothing less than elite. Thanks zirous for the good experience",5.0,2 years ago
Laura D.,"Terrible customer service. NO ONE answers the phone. I have been trying to get a copy of my expensive extended warranty for two weeks, without response. I will have to go there myself...or go the litigation route.",1.0,2 years ago
Guy Grove,Parking bad .. Good service at parts counter .. Some people can't read one way signs almost got in accident and I was walking ..,2.0,2 years ago
john hill,Multiple credit submissions which is impacting my credit score. I  had approval when I came in and was told that there would not be multiple inquiries on my credit .,1.0,2 years ago
Kathie Checke,,4.0,2 years ago
Julie Butler,We are long-time loyal Honda fans.  We have purchased two vehicles from Concord Honda.  We trust and appreciate the excellent care and customer service that we have received at Concord Honda for the past 20 years.,5.0,2 years ago
Kayfabe Jason,,5.0,2 years ago
Rommel Ladiao,"I was shopping for a 2018 Honda Odyssey.  Concord Honda was able to provide the best price out of all the dealerships I contacted.  If i knew my experience would have been so poor, I would have spent an extra $300 from another dealership …",1.0,2 years ago
Sherryl Aslian,,5.0,2 years ago
Maria,,5.0,2 years ago
Listotony Brooks,,5.0,2 years ago
Rey Santos,"I had a great experience in service department,  It was a few days ago, I went to Honda Concord  just to try out if my online coupons works,  it was less than $5 bucks for a tire rotation?  But they did,  they help me,  even though I don't …",5.0,2 years ago
Pullareddy N,"I bought Honda CRV recently, good service",5.0,2 years ago
Michelle Richey,This is the second car or family has purchased with concord Honda. Great customer service and great price! Cristina is amazing and so is Charlie.... painless process and they help you through every step!,5.0,2 years ago
Brian Pagett,Everyone was very nice and helpful. If I have the opportunity to do business with them again I will.,5.0,2 years ago
Rocelia Rowe,,5.0,2 years ago
Tarun Kumarreddy,,5.0,2 years ago
Sean Harrington,,1.0,2 years ago
Robert James,"Fast, reliable",4.0,2 years ago
James Mathews,Great dealership. Willing to make a deal.,5.0,2 years ago
Chris Dunn,"Jesse was very thorough and had my vehicle ready, quicker than expected.  Driver was also friendly and prompt.  Thanks again.",5.0,2 years ago
Lynne Bradford,Honda Service,5.0,2 years ago
poonam bhatt,,4.0,2 years ago
Maria Vita Guido,Excellent service!!!...Thanks to the Staff of Concord Honda.,5.0,2 years ago
mohsen faghirizadeh,,4.0,2 years ago
Erica Guevara,"Great service, everyone is very nice.",5.0,2 years ago
Jason Bice,No BS car buying. Pleasantly stunned. Chris Z was absolutely the best. Could not have been happier with the entire process.,5.0,2 years ago
Helene Goodbar,,5.0,2 years ago
Carlos Ponce,,4.0,2 years ago
Brian Kilpatrick,"Not happy about this dealer, and their sister dealer, Serramonte:",1.0,2 years ago
Virginia Pursley,,4.0,2 years ago
Norman Grant III,,5.0,2 years ago
Jd Ly,"Saturday service before 9am is the best time. After 9:30 there are a lot of cars. Nice waiting area, great coffee and doughnuts :)",5.0,2 years ago
arun gupta,,4.0,2 years ago
Cristal Anime,,4.0,2 years ago
Geran Cortez,The avaiser s whit that bad attitude,3.0,2 years ago
